name,affiliation,citations,hindex,i10index,quality,n_ratings,easiness,department,college
"Peterson, Larry",ONF / Princeton University,41661,75,163, ,0, ,Computer Science,Princeton
"Mitchell, Thomas","Molecular Genetics and Microbiology, Duke University",10071,57,90,2.5,1,2.0,English,CMU
"Carter, Patrick","Professor of Biology, Washington State University",3773,29,50,4.6,9,4.0,Fine Arts,Tufts
"Marszalek, Piotr",Duke University,10191,43,79,4.5,1,4.0,Engineering,Duke
"Westra, Joel",Calvin University,50,2,2,5.0,1,1.0,International Studies,UChicago
"Thomas, John",Professor of Public Management and Policy,3909,25,45,4.6,13,3.3,Physics,Duke
"Burris, Ethan",University of Texas at Austin,4302,15,15, ,0, ,Management,UTexas
"Fong, Christina","Senior Research Scientist, Carnegie Mellon University",2617,15,15,3.5,6,2.8,Economics,CMU
"Adams, Michael","University of California, Riverside",11805,56,112, ,0, ,English,UTexas
"Wood, John",Afiliação desconhecida,56939,119,383,3.2,2,2.5,Chemistry,Yale
"Finger, Susan","Professor, Civil & Environmental Engineering, Carnegie Mellon University",3052,28,48,5.0,6,3.5,Engineering,CMU
"Harrison, Daniel","Associate professor of Chemistry, Virginia military institute",693,12,19,4.2,5,2.8,Music,Yale
"Waller, Travis","Deputy Dean(Research), UNSW; Advisian Chair of Transport Innovation; Executive Director (rCITI)",6379,43,133,4.0,1,3.0,Engineering,UTexas
"Mukherjee, Sayan","Duke University, MIT",37929,49,121,2.8,4,2.0,Mathematics,Duke
"Banerjee, Sanjay","Associate Professor, National Institute of Pharmaceutical Education and Research (NIPER), Guwahati",4994,34,69,4.5,1,3.0,Engineering,UTexas
"Valentine, Ann","Professor of Chemistry, Temple University",3164,26,38,4.7,3,1.7,Chemistry,Yale
"Acquisti, Alessandro",Carnegie Mellon University,23625,65,126,4.4,8,2.6,Information Science,CMU
"Reder, Lynne","Professor of Psychology, Carnegie Mellon University",15798,58,113,1.8,2,2.5,Psychology,CMU
"Knecht, Amanda","Mathematics and Statistics, Villanova University",25,3,0,4.5,1,4.0,Mathematics,Rice
"Finn, Gavin","Professor of the Practice, Tufts University; Kaon Interactive",129,7,4,5.0,1,2.0,Entrepreneurship,Tufts
"Alawiyah, Tuti",University of Muhammadiyah Jakarta,241,7,5, ,0, ,Social Work,UTexas
"Rajkumar, Raj","George Westinghouse Professor of Electrical and Computer Engineering, Carnegie Mellon University",22440,70,189,2.5,2,2.5,Engineering,CMU
"Levin, Golan","Associate Professor of Electronic Art, Carnegie Mellon University",1211,16,19,4.8,2,3.0,Fine Arts,CMU
"White, Hylton",University of the Witwatersrand,435,11,11,4.9,9,2.0,Social Science,UChicago
"Gao, Zhiyong","Professor & Vice Dean, School of Minerals Processing & Bioengineering, Central South University",1616,23,32,3.5,23,4.2,Mathematics,Rice
"Ricketts, David",North Carolina State University,1586,18,37,1.5,1,2.0,Engineering,CMU
"Gillespie, Michael",University of South Florida Sarasota-Manatee,1386,13,13,4.4,12,1.7,Political Science,Duke
"Mortensen, Karoline","Associate Professor of Health Management and Policy, University of Miami",788,16,21, ,0, ,Political Science,Rice
"Maas, Michael","Senior Scientist, Advanced Ceramics, University of Bremen",735,14,18,2.5,1,4.0,History,Rice
"Hamermesh, Daniel","Emeritus Professor of Economics, University of Texas at Austin",25573,73,172,2.7,29,1.9,Economics,UTexas
"Barker, James","Professor of Organizational Behavior, Dalhousie University",5226,20,24,4.9,9,2.3,History,Duke
"Mattingly, Jonathan","Professor of Mathematics and Statistical Science, Duke University",3666,28,53,4.1,5,2.6,Mathematics,Duke
"Miller, Robert","Professor, Computer Science, MIT",39499,90,427,4.3,3,2.7,Computer Science,MIT
"Leal, David","Professor of Government, University of Texas at Austin; Senior Fellow, Hoover Institution",2602,24,47,3.8,3,2.7,Government,UTexas
"Shapiro, Karin",Duke University,134,4,3,4.7,19,3.6,History,Duke
"Morizio, James","Adjunct Associate Professor of Electrical and Computer Engineering, Duke University",1007,13,14,1.5,3,3.7,Electrical Engineering,Duke
"Stacey, Andrew","Assistant Professor, Ocular Oncology, Department of Ophthalmology, University of Washington",396,11,11,3.0,1,2.0,Mathematics,Stanford
"Jacob, Robert","Professor of Computer Science, Tufts University",14078,52,103,3.3,10,3.9,Computer Science,Tufts
"Nelson, Scott","Muirhead Professor of Obstetrics & Gynaecology, University of Glasgow",13941,64,143,4.0,1,2.0,English,UTexas
"Neander, Karen","Professor, Department of Philosophy, Duke University",2639,19,23,3.4,4,3.0,Philosophy,Duke
"Sutner, Klaus",Carnegie Mellon University,1468,19,32,4.1,11,2.5,Computer Science,CMU
"Jackendoff, Ray","Professor of Philosophy, Tufts University",73765,79,207,2.8,4,1.5,Philosophy,Tufts
"Mueller, Berndt","Professor of Physics, Duke University",28869,77,311,2.5,1,1.0,Physics,Duke
"Cox, Steven",Anthony Nolan,2025,15,21,4.2,4,3.5,Mathematics,Rice
"Buehler, Markus",Massachusetts Institute of Technology,26522,83,325, ,0, ,Engineering,MIT
"Griffin, Terry",Kansas State University,1016,17,29,3.5,13,2.6,Languages,Harvard
"Bloch, Corinne",Marquette University,69,5,1,5.0,2,3.0,Philosophy,UChicago
"Chow, Rosalind",Associate Professor of Organizational Behavior,866,12,14,3.2,3,2.0,Business,CMU
"Murray, Brad",University of Technology Sydney,3794,35,71,3.7,9,4.2,Environmental Science,Duke
"Whitmire, Kenton",Rice University,7311,47,158,4.2,5,3.4,Science,Rice
"Cook, James","Associate Professor of Sociology, University of Maine at Augusta",17225,5,2,2.9,19,3.8,Sociology,Duke
"Jafari, Amir","Head of ARM lab, Assistant Professor of Mechanical Engineering Department UTSA",2123,16,21,4.7,9,3.1,Mathematics,Duke
"Klenk, Paul","Research Square, Duke University",122,4,4, ,0, ,Electrical Engineering,Duke
"Sorensen, Erik","Professor of Physics, McMaster University",2917,30,55,4.9,4,3.2,Chemistry,Princeton
